Well,Plate,Event,Hour,Day,Strain
A1,1,0,24,1,1
A2,1,0,24,1,1
A3,1,0,24,1,1
A4,1,0,24,1,1
A5,1,0,24,1,1
A6,1,0,24,1,1
A7,1,0,24,1,1
A8,1,0,24,1,1
A9,1,0,24,1,1
A10,1,0,24,1,1
A11,1,0,24,1,1
A12,1,0,24,1,1
B1,1,0,48,2,1
B2,1,0,48,2,1
B3,1,0,48,2,1
B4,1,0,48,2,1
B5,1,0,48,2,1
B6,1,0,48,2,1
B7,1,0,48,2,1
B8,1,0,48,2,1
B9,1,0,48,2,1
B10,1,0,48,2,1
B11,1,0,48,2,1
B12,1,0,48,2,1
C1,1,0,72,3,1
C2,1,0,72,3,1
C3,1,0,72,3,1
C4,1,0,72,3,1
C5,1,0,72,3,1
C6,1,0,72,3,1
C7,1,0,72,3,1
C8,1,0,72,3,1
C9,1,0,72,3,1
C10,1,0,72,3,1
C11,1,0,72,3,1
C12,1,0,72,3,1
D1,1,0,96,4,1
D2,1,0,96,4,1
D3,1,0,96,4,1
D4,1,0,96,4,1
D5,1,0,96,4,1
D6,1,0,96,4,1
D7,1,0,96,4,1
D8,1,0,96,4,1
D9,1,0,96,4,1
D10,1,0,96,4,1
D11,1,0,96,4,1
D12,1,0,96,4,1
E1,1,1,24,1,2
E2,1,1,24,1,2
E3,1,1,24,1,2
E4,1,1,24,1,2
E5,1,1,24,1,2
E6,1,1,24,1,2
E7,1,1,24,1,2
E8,1,1,24,1,2
E9,1,1,24,1,2
E10,1,1,24,1,2
E11,1,1,24,1,2
E12,1,1,24,1,2
F1,1,1,48,2,2
F2,1,1,48,2,2
F3,1,1,48,2,2
F4,1,1,48,2,2
F5,1,1,48,2,2
F6,1,1,48,2,2
F7,1,1,48,2,2
F8,1,1,48,2,2
F9,1,1,48,2,2
F10,1,1,48,2,2
F11,1,1,48,2,2
F12,1,1,48,2,2
G1,1,1,72,3,2
G2,1,1,72,3,2
G3,1,1,72,3,2
G4,1,1,72,3,2
G5,1,1,72,3,2
G6,1,1,72,3,2
G7,1,1,72,3,2
G8,1,1,72,3,2
G9,1,1,72,3,2
G10,1,1,72,3,2
G11,1,1,72,3,2
G12,1,1,72,3,2
H1,1,1,96,4,2
H2,1,1,96,4,2
H3,1,1,96,4,2
H4,1,1,96,4,2
H5,1,1,96,4,2
H6,1,1,96,4,2
H7,1,1,96,4,2
H8,1,1,96,4,2
H9,1,1,96,4,2
H10,1,1,96,4,2
H11,1,1,96,4,2
H12,1,1,96,4,2
A1,2,0,24,1,1
A2,2,0,24,1,1
A3,2,0,24,1,1
A4,2,0,24,1,1
A5,2,0,24,1,1
A6,2,0,24,1,1
A7,2,0,24,1,1
A8,2,0,24,1,1
A9,2,0,24,1,1
A10,2,0,24,1,1
A11,2,0,24,1,1
A12,2,0,24,1,1
B1,2,0,48,2,1
B2,2,0,48,2,1
B3,2,0,48,2,1
B4,2,0,48,2,1
B5,2,0,48,2,1
B6,2,0,48,2,1
B7,2,0,48,2,1
B8,2,0,48,2,1
B9,2,0,48,2,1
B10,2,0,48,2,1
B11,2,0,48,2,1
B12,2,0,48,2,1
C1,2,0,72,3,1
C2,2,0,72,3,1
C3,2,0,72,3,1
C4,2,0,72,3,1
C5,2,0,72,3,1
C6,2,0,72,3,1
C7,2,0,72,3,1
C8,2,0,72,3,1
C9,2,0,72,3,1
C10,2,0,72,3,1
C11,2,0,72,3,1
C12,2,0,72,3,1
D1,2,0,96,4,1
D2,2,0,96,4,1
D3,2,0,96,4,1
D4,2,0,96,4,1
D5,2,0,96,4,1
D6,2,0,96,4,1
D7,2,0,96,4,1
D8,2,0,96,4,1
D9,2,0,96,4,1
D10,2,0,96,4,1
D11,2,0,96,4,1
D12,2,0,96,4,1
E1,2,1,24,1,2
E2,2,1,24,1,2
E3,2,1,24,1,2
E4,2,1,24,1,2
E5,2,1,24,1,2
E6,2,1,24,1,2
E7,2,1,24,1,2
E8,2,1,24,1,2
E9,2,1,24,1,2
E10,2,1,24,1,2
E11,2,1,24,1,2
E12,2,1,24,1,2
F1,2,1,48,2,2
F2,2,1,48,2,2
F3,2,1,48,2,2
F4,2,1,48,2,2
F5,2,1,48,2,2
F6,2,1,48,2,2
F7,2,1,48,2,2
F8,2,1,48,2,2
F9,2,1,48,2,2
F10,2,1,48,2,2
F11,2,1,48,2,2
F12,2,1,48,2,2
G1,2,1,72,3,2
G2,2,1,72,3,2
G3,2,1,72,3,2
G4,2,1,72,3,2
G5,2,1,72,3,2
G6,2,1,72,3,2
G7,2,1,72,3,2
G8,2,1,72,3,2
G9,2,1,72,3,2
G10,2,1,72,3,2
G11,2,1,72,3,2
G12,2,1,72,3,2
H1,2,1,96,4,2
H2,2,1,96,4,2
H3,2,1,96,4,2
H4,2,1,96,4,2
H5,2,1,96,4,2
H6,2,1,96,4,2
H7,2,1,96,4,2
H8,2,1,96,4,2
H9,2,1,96,4,2
H10,2,1,96,4,2
H11,2,1,96,4,2
H12,2,1,96,4,2
