Group	Hours	Days	Event 	Treatment	InPop
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
1	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
2	0	0	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
1	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
2	48	2	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
1	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
2	96	4	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
1	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
2	168	7	0	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
1	216	9	1	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
2	216	9	0	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
1	336	14	1	2	3
2	336	14	0	2	3
2	336	14	0	2	3
2	336	14	0	2	3
2	336	14	0	2	3
2	336	14	0	2	3
2	336	14	0	2	3
2	336	14	0	2	3
2	336	14	0	2	3
2	336	14	0	2	3
2	336	14	0	2	3
