Well,24,48,72,96,120,Type,dessication
A1,0.08,0.076,0.089,0.094,0.109,D6,2
A2,0.219,0.444,0.335,0.18,1.108,D6,3
A3,0.366,0.463,0.325,0.162,1.233,D6,4
A4,0.109,0.087,0.077,0.078,0.606,D6,5
A5,0.117,0.116,0.085,0.083,0.61,D6,2
A6,0.146,0.261,0.089,0.081,0.458,D6,3
A7,0.58,0.728,0.13,0.301,1.473,SPO,4
A8,0.459,0.514,0.124,0.127,1.273,SPO,5
A9,0.431,0.374,0.175,0.128,1.049,SPO,2
A10,0.428,0.45,0.414,0.189,1.335,SPO,3
A11,0.571,0.618,0.556,0.444,1.358,SPO,4
A12,0.622,0.633,0.558,0.308,1.166,SPO,5
B1,0.085,0.077,0.095,0.098,0.58,D6,2
B2,0.71,1.117,1.057,0.645,1.267,D6,3
B3,0.392,0.604,0.78,0.735,0.996,D6,4
B4,0.64,0.623,1.143,1.183,1.362,D6,5
B5,0.209,0.272,0.239,0.19,0.492,D6,2
B6,0.159,0.267,0.185,0.164,0.62,D6,3
B7,0.54,0.733,0.619,0.641,1.254,SPO,4
B8,0.399,0.619,0.541,0.53,1.168,SPO,5
B9,0.417,0.452,0.538,0.597,0.866,SPO,2
B10,0.497,0.673,0.551,0.477,1.027,SPO,3
B11,0.601,0.591,0.472,0.51,1.11,SPO,4
B12,0.551,0.569,0.584,0.545,1.236,SPO,5
C1,0.19,0.176,1.259,0.783,2.032,D6,2
C2,0.457,0.57,0.591,0.745,1.021,D6,3
C3,0.857,1,0.988,1.02,1.33,D6,4
C4,0.726,0.633,0.704,0.549,0.826,D6,5
C5,0.152,0.248,0.184,0.138,0.859,D6,2
C6,0.731,0.866,0.692,0.401,0.991,D6,3
C7,0.524,0.536,0.473,0.458,0.846,SPO,4
C8,0.64,0.629,0.599,0.525,1.057,SPO,5
C9,0.472,0.586,0.544,0.957,0.933,SPO,2
C10,0.528,0.535,0.562,0.525,1.026,SPO,3
C11,0.597,0.559,0.501,0.504,1.039,SPO,4
C12,0.751,0.716,0.642,0.601,1.423,SPO,5
D1,0.096,0.083,0.091,0.087,1.06,D6,2
D2,0.739,0.613,0.507,0.242,1.337,D6,3
D3,0.15,0.244,0.194,0.152,0.277,D6,4
D4,0.33,0.632,0.725,0.638,0.92,D6,5
D5,0.955,0.769,0.593,0.453,1.013,D6,2
D6,0.776,0.938,0.698,0.472,1.038,D6,3
D7,0.6,0.78,0.746,0.849,1.121,SPO,4
D8,0.411,0.564,0.568,0.493,0.879,SPO,5
D9,0.563,0.616,0.716,0.931,0.859,SPO,2
D10,0.483,0.624,0.616,0.584,0.84,SPO,3
D11,0.538,0.578,0.587,0.454,0.769,SPO,4
D12,0.573,0.691,0.591,0.5,1.116,SPO,5
E1,0.174,0.174,1.365,0.393,1.946,D6,2
E2,0.607,0.881,1.054,0.838,1.931,D6,3
E3,0.727,0.832,0.901,0.694,0.915,D6,4
E4,0.155,0.266,0.225,0.179,0.241,D6,5
E5,0.195,0.328,0.275,0.232,0.527,D6,2
E6,0.599,0.793,0.578,0.438,0.7,D6,3
E7,0.612,0.651,0.629,0.592,1.156,SPO,4
E8,0.434,0.601,0.54,0.441,0.792,SPO,5
E9,0.397,0.552,0.494,0.382,0.886,SPO,2
E10,0.404,0.554,0.546,0.469,0.847,SPO,3
E11,0.59,0.564,0.587,0.544,0.896,SPO,4
E12,0.797,0.646,0.525,0.501,1.392,SPO,5
F1,0.329,0.214,0.811,0.535,1.764,D6,2
F2,0.465,0.398,0.502,0.294,0.727,D6,3
F3,0.154,0.264,0.217,0.169,0.408,D6,4
F4,0.126,0.235,0.211,0.166,0.871,D6,5
F5,0.853,0.905,0.913,0.657,1.034,D6,2
F6,0.677,0.653,0.639,0.467,0.786,D6,3
F7,0.529,0.482,0.454,0.487,0.905,SPO,4
F8,0.449,0.556,0.541,0.445,0.968,SPO,5
F9,0.416,0.553,0.632,0.717,0.844,SPO,2
F10,0.463,0.609,0.565,0.458,0.912,SPO,3
F11,0.754,0.468,0.537,0.402,1.89,SPO,4
F12,0.584,0.624,0.548,0.481,1.171,SPO,5
G1,0.321,0.418,1.114,0.979,1.591,D6,2
G2,0.175,0.109,0.096,0.091,0.701,D6,3
G3,0.517,0.648,0.684,0.594,0.798,D6,4
G4,0.6,0.32,0.714,0.718,0.977,D6,5
G5,0.781,0.724,0.484,0.334,0.964,D6,2
G6,0.348,0.142,0.114,0.102,0.671,D6,3
G7,0.52,0.575,0.65,0.614,0.987,SPO,4
G8,0.446,0.564,0.528,0.413,0.941,SPO,5
G9,0.355,0.446,0.474,0.341,0.977,SPO,2
G10,0.461,0.575,0.527,0.434,1.022,SPO,3
G11,0.752,0.554,0.564,0.454,1.004,SPO,4
G12,0.629,0.637,0.6,0.509,1.339,SPO,5
H1,0.505,0.162,1.091,0.469,1.704,D6,2
H2,0.434,0.394,0.439,0.302,1.274,D6,3
H3,0.098,0.113,0.087,0.083,0.089,D6,4
H4,0.106,0.111,0.102,0.093,0.898,D6,5
H5,0.303,0.098,0.095,0.09,0.677,D6,2
H6,0.699,0.612,0.608,0.542,0.736,D6,3
H7,0.58,0.598,0.567,0.533,1.178,SPO,4
H8,0.56,0.478,0.46,0.473,1.096,SPO,5
H9,0.478,0.476,0.471,0.623,1.014,SPO,2
H10,0.527,0.633,0.524,0.406,0.883,SPO,3
H11,0.781,0.406,0.379,0.419,0.92,SPO,4
H12,0.78,0.538,0.503,0.193,1.204,SPO,5
