Well,Event,Strain,Day,Experiment
A1,0,1,2,6
A2,0,1,2,6
A3,0,1,2,6
A4,0,1,2,6
A5,0,1,2,6
A6,0,1,2,6
A7,0,1,2,6
A8,0,1,2,6
A9,0,1,2,6
A10,0,1,2,6
A11,0,1,2,6
A12,0,1,2,6
B1,0,1,3,6
B2,0,1,3,6
B3,0,1,3,6
B4,0,1,3,6
B5,0,1,3,6
B6,0,1,3,6
B7,0,1,3,6
B8,0,1,3,6
B9,0,1,3,6
B10,0,1,3,6
B11,0,1,3,6
B12,0,1,3,6
C1,0,1,4,6
C2,0,1,4,6
C3,0,1,4,6
C4,0,1,4,6
C5,0,1,4,6
C6,0,1,4,6
C7,0,1,4,6
C8,0,1,4,6
C9,0,1,4,6
C10,0,1,4,6
C11,0,1,4,6
C12,0,1,4,6
D1,0,1,6,6
D2,0,1,6,6
D3,0,1,6,6
D4,0,1,6,6
D5,0,1,6,6
D6,0,1,6,6
D7,0,1,6,6
D8,0,1,6,6
D9,0,1,6,6
D10,0,1,6,6
D11,0,1,6,6
D12,0,1,6,6
E1,1,2,6,6
E2,1,2,6,6
E3,1,2,6,6
E4,1,2,6,6
E5,1,2,6,6
E6,1,2,6,6
E7,1,2,6,6
E8,1,2,6,6
E9,1,2,6,6
E10,1,2,6,6
E11,1,2,6,6
E12,1,2,6,6
F1,1,2,4,6
F2,1,2,4,6
F3,1,2,4,6
F4,1,2,4,6
F5,1,2,4,6
F6,1,2,4,6
F7,1,2,4,6
F8,1,2,4,6
F9,1,2,4,6
F10,1,2,4,6
F11,1,2,4,6
F12,1,2,4,6
G1,1,2,3,6
G2,1,2,3,6
G3,1,2,3,6
G4,1,2,3,6
G5,1,2,3,6
G6,1,2,3,6
G7,1,2,3,6
G8,1,2,3,6
G9,1,2,3,6
G10,1,2,3,6
G11,1,2,3,6
G12,1,2,3,6
H1,1,2,2,6
H2,1,2,2,6
H3,1,2,2,6
H4,1,2,2,6
H5,1,2,2,6
H6,1,2,2,6
H7,1,2,2,6
H8,1,2,2,6
H9,1,2,2,6
H10,1,2,2,6
H11,1,2,2,6
H12,1,2,2,6
A1,0,1,1,5
A2,0,1,1,5
A3,0,1,1,5
A4,0,1,1,5
A5,0,1,1,5
A6,0,1,1,5
A7,0,1,1,5
A8,0,1,1,5
A9,0,1,1,5
A10,0,1,1,5
A11,0,1,1,5
