transfer,well ,volume_ul,dilution ,lys_r1,lys_r2,lys_r3,his_r1,his_r2,his_r3
1,A1,10,1.00E+04,36,29,33,68,75,76
1,A1,10,1.00E+05,4,7,5,8,8,9
1,A1,10,1.00E+06,1,0,0,1,1,1
1,A1,10,1.00E+07,0,0,0,0,0,0
1,A2,10,1.00E+04,27,23,28,61,74,58
1,A2,10,1.00E+05,2,4,1,5,12,7
1,A2,10,1.00E+06,0,0,0,0,0,0
1,A2,10,1.00E+07,0,0,0,0,0,0
1,A3,10,1.00E+04,38,37,41,69,74,74
1,A3,10,1.00E+05,1,2,10,0,0,0
1,A3,10,1.00E+06,2,0,2,0,0,0
1,A3,10,1.00E+07,0,0,0,0,0,0
1,A4,10,1.00E+04,30,28,20,32,67,71
1,A4,10,1.00E+05,4,4,2,8,9,10
1,A4,10,1.00E+06,2,0,0,2,2,0
1,A4,10,1.00E+07,0,0,0,1,0,0
1,A5,10,1.00E+04,29,28,29,47,65,58
1,A5,10,1.00E+05,1,5,5,1,2,3
1,A5,10,1.00E+06,0,0,0,1,0,1
1,A5,10,1.00E+07,0,0,0,0,0,0
1,A6,10,1.00E+04,31,25,29,66,70,82
1,A6,10,1.00E+05,0,6,2,9,12,4
1,A6,10,1.00E+06,1,1,0,1,1,0
1,A6,10,1.00E+07,0,0,0,0,0,0
1,B1,10,1.00E+04,24,33,33,70,73,62
1,B1,10,1.00E+05,3,8,3,10,13,11
1,B1,10,1.00E+06,0,0,0,1,2,0
1,B1,10,1.00E+07,0,0,0,0,0,0
1,B2,10,1.00E+04,26,23,23,98,90,96
1,B2,10,1.00E+05,2,0,2,16,16,9
1,B2,10,1.00E+06,0,0,0,3,1,0
1,B2,10,1.00E+07,0,0,0,0,0,0
1,B3,10,1.00E+04,13,17,20,97,79,73
1,B3,10,1.00E+05,1,1,3,1,0,2
1,B3,10,1.00E+06,0,0,0,1,0,0
1,B3,10,1.00E+07,0,0,0,0,0,0
1,B4,10,1.00E+04,30,28,20,5,5,9
1,B4,10,1.00E+05,4,4,2,1,0,0
1,B4,10,1.00E+06,2,0,0,0,0,0
1,B4,10,1.00E+07,0,0,0,0,0,0
1,B5,10,1.00E+04,10,4,10,59,49,57
1,B5,10,1.00E+05,1,1,2,3,7,4
1,B5,10,1.00E+06,0,0,0,2,0,1
1,B5,10,1.00E+07,0,0,0,0,0,0
1,B6,10,1.00E+04,0,0,0,0,0,0
1,B6,10,1.00E+05,0,0,0,0,0,0
1,B6,10,1.00E+06,0,0,0,0,0,0
1,B6,10,1.00E+07,0,0,0,0,0,0
1,C1,10,1.00E+04,33,30,28,73,75,62
1,C1,10,1.00E+05,4,6,7,10,13,11
1,C1,10,1.00E+06,0,0,0,1,2,0
1,C1,10,1.00E+07,0,0,0,0,0,0
1,C2,10,1.00E+04,30,25,24,45,59,51
1,C2,10,1.00E+05,2,8,6,7,9,9
1,C2,10,1.00E+06,0,0,2,0,0,0
1,C2,10,1.00E+07,0,0,0,0,0,0
1,C3,10,1.00E+04,25,32,22,44,43,47
1,C3,10,1.00E+05,2,0,3,1,1,5
1,C3,10,1.00E+06,0,0,0,1,0,0
1,C3,10,1.00E+07,0,0,0,0,0,0
1,C4,10,1.00E+04,NA,NA,NA,0,0,0
1,C4,10,1.00E+05,12,6,15,0,0,0
1,C4,10,1.00E+06,1,2,3,0,0,0
1,C4,10,1.00E+07,0,1,0,0,0,0
1,C5,10,1.00E+04,NA,NA,61,0,0,0
1,C5,10,1.00E+05,12,13,11,0,0,0
1,C5,10,1.00E+06,3,1,3,0,0,0
1,C5,10,1.00E+07,0,2,0,0,0,0
1,C6,10,1.00E+04,NA,NA,67,0,0,0
1,C6,10,1.00E+05,13,10,19,0,0,0
1,C6,10,1.00E+06,4,3,1,0,0,0
1,C6,10,1.00E+07,0,1,0,0,0,0
1,D1,10,1.00E+04,27,35,27,92,64,55
1,D1,10,1.00E+05,3,3,6,10,14,11
1,D1,10,1.00E+06,0,0,0,1,2,1
1,D1,10,1.00E+07,0,0,0,0,0,0
1,D2,10,1.00E+04,22,19,23,51,60,58
1,D2,10,1.00E+05,3,3,8,13,9,10
1,D2,10,1.00E+06,0,0,0,1,2,2
1,D2,10,1.00E+07,0,0,0,0,0,0
1,D3,10,1.00E+04,19,17,24,53,45,48
1,D3,10,1.00E+05,0,3,4,8,5,4
