transfer,well ,volume_ul,dilution ,lys_r1,lys_r2,lys_r3,lys_r4,his_r1,his_r2,his_r3,his_r3,his_r4
1,A1,10,3,,,,,,,,,
1,A1,10,4,46,40,,,7,12,,,
1,A1,10,5,9,8,,,6,5,,,
1,A1,10,6,2,,,,1,1,,,
1,A2,10,3,,,,,,,,,
1,A2,10,4,26,11,,,5,8,,,
1,A2,10,5,16,,,,2,,,,
1,A2,10,6,2,,,,1,,,,
1,A3,10,3,,,,,,,,,
1,A3,10,4,29,20,,,5,,,,
1,A3,10,5,2,12,,,,,,,
1,A3,10,6,1,,,,,,,,
1,A4,10,3,,,,,,,,,
1,A4,10,4,25,17,,,1,,,,
1,A4,10,5,4,3,,,1,,,,
1,A4,10,6,1,,,,,,,,
1,A5,10,3,,,,,,,,,
1,A5,10,4,18,8,,,1,2,,,
1,A5,10,5,2,1,,,,,,,
1,A5,10,6,1,1,,,,,,,
1,A6,10,3,,,,,,,,,
1,A6,10,4,2,6,,,5,,,,
1,A6,10,5,3,2,,,,,,,
1,A6,10,6,,,,,,,,,
1,B1,10,3,,,,,,,,,
1,B1,10,4,23,10,,,8,14,,,
1,B1,10,5,15,1,,,5,4,,,
1,B1,10,6,2,2,,,2,1,,,
1,B2,10,3,,,,,,,,,
1,B2,10,4,44,26,,,6,10,,,
1,B2,10,5,2,4,,,2,3,,,
1,B2,10,6,,,,,1,,,,
1,B3,10,3,,,,,,,,,
1,B3,10,4,39,,,,20,29,,,
1,B3,10,5,10,6,,,2,4,,,
1,B3,10,6,,,,,1,,,,
1,B4,10,3,,,,,,,,,
1,B4,10,4,41,20,,,20,16,,,
1,B4,10,5,13,35,,,6,14,,,
1,B4,10,6,1,8,,,,,,,
1,B5,10,3,,,,,,,,,
1,B5,10,4,23,36,,,43,30,,,
1,B5,10,5,13,,,,9,7,,,
1,B5,10,6,1,2,,,,,,,
1,B6,10,3,,,,,,,,,
1,B6,10,4,27,16,,,36,29,,,
1,B6,10,5,5,6,,,5,12,,,
1,B6,10,6,1,3,,,1,,,,
1,C1,10,3,,,,,,,,,
1,C1,10,4,29,25,,,34,40,,,
1,C1,10,5,4,10,,,11,10,,,
1,C1,10,6,,,,,,,,,
1,C2,10,3,,,,,,,,,
1,C2,10,4,20,27,,,18,18,,,
1,C2,10,5,6,3,,,3,6,,,
1,C2,10,6,2,,,,,,,,
1,C3,10,3,,,,,,,,,
1,C3,10,4,41,38,,,29,34,,,
1,C3,10,5,9,5,,,2,7,,,
1,C3,10,6,,,,,1,1,,,
1,C4,10,3,,,,,,,,,
1,C4,10,4,8,5,,,16,16,,,
1,C4,10,5,1,5,,,9,4,,,
1,C4,10,6,,,,,5,5,,,
1,C5,10,3,,,,,,,,,
1,C5,10,4,6,11,,,5,14,,,
1,C5,10,5,1,1,,,2,8,,,
1,C5,10,6,1,,,,1,2,,,
1,C6,10,3,,,,,,,,,
1,C6,10,4,11,11,,,41,39,,,
1,C6,10,5,3,,,,29,28,,,
1,C6,10,6,2,,,,18,11,,,
1,D1,10,3,,,,,,,,,
1,D1,10,4,,,,,,,,,
1,D1,10,5,,,,,,,,,
1,D1,10,6,,,,,,,,,
1,D2,10,3,,,,,,,,,
1,D2,10,4,73,51,,,,,,,
1,D2,10,5,26,26,,,,,,,
1,D2,10,6,3,8,,,,,,,
1,D3,10,3,0,,,,,,,,
1,D3,10,4,0,,,,,,,,
1,D3,10,5,0,,,,23,26,,,
1,D3,10,6,0,,,,2,3,,,
1,D4,10,3,0,,,,,,,,
1,D4,10,4,0,,,,37,39,,,
1,D4,10,5,0,,,,3,6,,,
1,D4,10,6,0,,,,,,,,
