well,combination,percentLys,percentHis,culture
A1,Lys50His50,50,50,coculture
A2,Lys50His50,50,50,coculture
A3,Lys50His50,50,50,coculture
A4,Lys35His65,35,65,coculture
A5,Lys35His65,35,65,coculture
A6,Lys35His65,35,65,coculture
B1,Lys20His80,20,80,coculture
B2,Lys20His80,20,80,coculture
B3,Lys20His80,20,80,coculture
B4,Lys100Control,100,0,control
B5,His100Control,0,100,control
B6,NegativeControl,0,0,control
C1,Lys65His35,65,35,coculture
C2,Lys65His35,65,35,coculture
C3,Lys65His35,65,35,coculture
C4,Lys100Mono,100,0,monoculture
C5,Lys100Mono,100,0,monoculture
C6,Lys100Mono,100,0,monoculture
D1,Lys80His20,80,20,coculture
D2,Lys80His20,80,20,coculture
D3,Lys80His20,80,20,coculture
D4,His100Mono,0,100,monoculture
D5,His100Mono,0,100,monoculture
D6,His100Mono,0,100,monoculture
